samples,n,algorithm,#AllCandidates,#Candidates,#Results_noAdjustement,grouping_time,#Results,Min_p_value,Max_p_value,Sum_p_value,Total Cov,p_value_adjustement_time
20.0,-1,TRAD_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1244699954986572
20.0,-1,TRAD_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1237142086029052
20.0,-1,COVER_G_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1336457729339599
20.0,-1,COVER_G_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1334116458892822
20.0,-1,COVER_𝛂_20,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1443169116973877
20.0,-1,COVER_𝛂_50,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1574900150299072
20.0,-1,COVER_𝛂_100,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1670269966125488
20.0,-1,COVER_𝛂_200,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1534531116485595
20.0,25,TRAD_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1239869594573974
20.0,25,TRAD_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1238918304443359
20.0,25,COVER_G_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1338047981262207
20.0,25,COVER_G_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1335818767547607
20.0,25,COVER_𝛂_20,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1423559188842773
20.0,25,COVER_𝛂_50,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1507320404052734
20.0,25,COVER_𝛂_100,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1644270420074463
20.0,25,COVER_𝛂_200,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1552019119262695
20.0,20,TRAD_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1240630149841308
20.0,20,TRAD_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1237528324127197
20.0,20,COVER_G_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1331150531768798
20.0,20,COVER_G_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1325807571411132
20.0,20,COVER_𝛂_20,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1329569816589355
20.0,20,COVER_𝛂_50,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1285622119903564
20.0,20,COVER_𝛂_100,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1298420429229736
20.0,20,COVER_𝛂_200,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1322650909423828
20.0,15,TRAD_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1236441135406494
20.0,15,TRAD_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1235387325286865
20.0,15,COVER_G_BY,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1338598728179931
20.0,15,COVER_G_BN,189.0,10.0,2.0,3.4520068168640137,2.0,0.0027233406044381,0.0127757143635387,0.0154990549679768,0.0392320803390455,0.1345977783203125
20.0,15,COVER_𝛂_20,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1365418434143066
20.0,15,COVER_𝛂_50,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1316797733306884
20.0,15,COVER_𝛂_100,189.0,10.0,2.0,3.4520068168640137,0.0,,,0.0,,0.1333682537078857
