grp1,grp1_size,grp2,grp2_size,p-value
ireland_25-34_2000's,28,norm,0,1.7051175395939473e-40
switzerland_35-44_2000's,82,norm,0,3.747239264897061e-135
belgium_18-24,11,norm,0,2.1474724457772228e-72
new zealand_50-55,41,norm,0,8.657065628603102e-68
norway_25-34_2000's,28,norm,0,8.901372788907229e-81
singapore,194,norm,0,0.0
netherlands_18-24_90's,25,norm,0,5.431104855589986e-164
italy_18-24_2000's,43,norm,0,9.27397852188504e-282
romania_25-34_90's,91,norm,0,0.0
china_35-44,14,norm,0,1.7999560311167512e-16
new zealand_45-49_90's,22,norm,0,2.3058189526862034e-144
brazil_18-24,46,norm,0,2.1843844124088784e-301
slovenia_90's,12,norm,0,6.155763522445196e-79
canada_25-34_80's,1009,norm,0,0.0
iran_25-34_80's,22,norm,0,2.3058189526862034e-144
bulgaria_25-34,41,norm,0,1.1286451778770485e-268
australia_>56_80's,11,norm,0,2.1474724457772228e-72
italy_35-44_90's,106,norm,0,1.296976738927563e-304
germany_90's,2144,norm,0,0.0
philippines_<18_90's,35,norm,0,1.4505238159847365e-45
ireland_25-34,65,norm,0,6.853000816374187e-116
usa_45-49_80's,2107,norm,0,0.0
mexico_50-55_2000's,15,norm,0,1.4499229055979413e-98
sweden,113,norm,0,0.0
hong kong_90's,27,norm,0,8.70153420814409e-45
united kingdom_25-34,2587,norm,0,0.0
south africa_18-24,21,norm,0,6.276135520123312e-35
austria_80's,62,norm,0,0.0
france_18-24,552,norm,0,0.0
netherlands_>56_80's,11,norm,0,2.1474724457772228e-72
singapore_35-44,32,norm,0,2.100452930847133e-144
australia_35-44_90's,337,norm,0,0.0
belgium_25-34_80's,14,norm,0,5.058136942590047e-92
brazil_25-34_90's,64,norm,0,4.368091188891451e-184
france_50-55,79,norm,0,3.9337445773086923e-227
greece_35-44,12,norm,0,2.2533846716856128e-13
luxembourg_25-34_2000's,21,norm,0,1.0898086261483758e-60
netherlands_50-55_90's,62,norm,0,2.39711995944417e-178
canada_18-24,1870,norm,0,0.0
canada_50-55_2000's,712,norm,0,0.0
18-24_60's,61,norm,0,2.490997477198143e-109
australia_90's,1584,norm,0,0.0
50's,594,norm,0,0.0
25-34_70's,1338,norm,0,0.0
mexico_18-24,15,norm,0,4.5676111063123185e-18
usa_>56,19007,norm,0,0.0
united kingdom_45-49,298,norm,0,0.0
portugal,2293,norm,0,0.0
china_25-34_2000's,100,norm,0,0.0
netherlands_25-34_80's,72,norm,0,0.0
italy_18-24,100,norm,0,0.0
usa,196930,norm,0,0.0
australia_18-24_2000's,167,norm,0,8.266936697778474e-275
taiwan_35-44_90's,79,norm,0,7.329136660284213e-147
australia_50-55_2000's,68,norm,0,5.67488445529276e-125
philippines_25-34_90's,20,norm,0,2.8061866176047734e-131
united kingdom_45-49_80's,24,norm,0,1.8946712272133442e-157
spain_90's,1348,norm,0,0.0
usa_>56_2000's,8126,norm,0,0.0
netherlands_25-34_2000's,178,norm,0,0.0
philippines_2000's,70,norm,0,2.226314256e-315
new zealand,507,norm,0,0.0
spain_18-24_70's,17,norm,0,1.1913889456558053e-111
netherlands_35-44,561,norm,0,0.0
germany_18-24_2000's,235,norm,0,0.0
usa_30's,27,norm,0,4.4626912663187784e-177
iran_35-44_2000's,101,norm,0,0.0
germany_2000's,1821,norm,0,0.0
malaysia_35-44,19,norm,0,9.78953856340034e-125
poland_<18,45,norm,0,6.775777800128255e-203
new zealand_90's,238,norm,0,0.0
switzerland_70's,12,norm,0,7.322199618961201e-35
germany_>56,52,norm,0,7.314654682436509e-86
canada_45-49,1494,norm,0,0.0
china_80's,27,norm,0,4.4626912663187784e-177
germany_<18_90's,41,norm,0,6.734398099588806e-185
united kingdom_45-49_2000's,135,norm,0,3.31930486217219e-278
hong kong_25-34,28,norm,0,8.901372788907229e-81
germany_50-55_90's,47,norm,0,1.2002569490079822e-77
finland_25-34_80's,21,norm,0,8.043978050471968e-138
canada_35-44_90's,2692,norm,0,0.0
australia_18-24,438,norm,0,0.0
usa_25-34_2000's,25653,norm,0,0.0
35-44_2000's,26345,norm,0,0.0
50-55,21149,norm,0,0.0
hong kong_2000's,26,norm,0,7.965885332933977e-37
united kingdom_<18_2000's,27,norm,0,4.4626912663187784e-177
sweden_25-34_90's,41,norm,0,6.734398099588806e-185
united kingdom_35-44_70's,42,norm,0,3.2352791438237395e-275
united kingdom_>56,399,norm,0,0.0
new zealand_50-55_90's,26,norm,0,1.556834744136414e-170
ireland_25-34_90's,33,norm,0,6.652395273194518e-149
philippines,202,norm,0,0.0
spain_>56_2000's,28,norm,0,1.2792374664997095e-183
usa_50-55_60's,29,norm,0,3.6669543063562245e-190
south korea_90's,13,norm,0,1.7645592900984735e-85
egypt,40,norm,0,2.884118073896372e-53
france_25-34_80's,94,norm,0,0.0
japan_25-34_90's,69,norm,0,1.9579270953428514e-198
austria_45-49,29,norm,0,6.611769070211648e-131
iran,492,norm,0,0.0
brazil_18-24_2000's,23,norm,0,6.609666273585798e-151
singapore_18-24_2000's,31,norm,0,2.189575282763381e-89
portugal_18-24_90's,123,norm,0,0.0
singapore_<18,20,norm,0,2.8061866176047734e-131
malaysia_25-34_2000's,233,norm,0,0.0
belgium,173,norm,0,0.0
united kingdom_50-55_80's,18,norm,0,3.4151351404455983e-118
45-49_2000's,9789,norm,0,0.0
