grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
M_25-34_Adventure,23,M_18-24_college-grad student,29,F_lawyer_Comedy,25,0.02779947001330191
Long_Thriller,26,M_Adventure,29,F_Drama,32,0.04029589906669656
scientist,30,35-44_programmer,31,lawyer_Comedy,25,0.04322090991507979
35-44,42,M_other,55,Long_Drama,41,0.00012199332370056936
Thriller,26,25-34_Long_Action,24,35-44_Comedy,26,0.032400340887673004
25-34_other_Horror,24,F_Long,27,F_35-44_Drama,29,0.005888710220976653
other_Long_Horror,25,18-24_college-grad student,29,F_35-44_lawyer_Comedy,25,0.013473646508122784
M_25-34_Sci-Fi,22,Long_Sci-Fi,23,35-44_lawyer_Comedy,25,0.04486760163828716
F_<18_K-12 student,25,18-24_college-grad student,29,F_lawyer_Long_Comedy,25,0.02769955092811976
M_academic-educator,31,M_programmer_Long,36,lawyer_Long_Comedy,25,0.0003060847222509789
35-44_academic-educator,27,programmer_Long,36,35-44_Comedy,26,0.021451107254799363
M_35-44_Long,24,35-44_programmer_Long,31,lawyer_Comedy,25,0.002018185262620478
25-34_Long_Horror,30,M_35-44_programmer_Long,31,F_Drama,32,0.044777756642897654
scientist_Long,30,M_35-44_Long_Drama,22,35-44_lawyer_Long_Comedy,25,0.027669751525943982
25-34_scientist_Long,30,25-34_Long_Action,24,F_35-44_lawyer_Long_Comedy,25,0.031234586567617545
<18_K-12 student,25,M_18-24_other_Long,31,F_35-44_Long_Comedy,26,0.020701209501298567
Long_War,25,M_35-44_Long_Drama,22,F_lawyer_Long_Comedy,25,0.00029470283587123116
M_25-34_executive-managerial,54,other,55,Drama,41,4.863707286492455e-06
M_other_Long_Horror,25,F,27,lawyer_Long_Drama,29,0.006548990712674272
Long_Horror,44,M_other,55,Long_Drama,41,1.2319105456860116e-05
M_25-34_Drama,35,18-24_other_Long,31,lawyer_Comedy,25,0.02120677648329191
35-44_academic-educator,27,M_Adventure,29,F_35-44_lawyer_Long_Comedy,25,0.01770545861960956
K-12 student,25,18-24_college-grad student_Long,29,35-44_lawyer_Comedy,25,0.02769955092811976
other_Horror,25,25-34_Action,24,F_35-44_lawyer_Comedy,25,0.032715191169008576
M_18-24_Long,23,M_18-24_college-grad student_Long,29,F_lawyer_Long_Comedy,25,0.0004602213398005081
M_scientist,30,18-24_college-grad student_Long,29,F_35-44_lawyer_Comedy,25,0.030849807255216098
M_Long_Comedy,29,18-24_other_Long,31,F_Comedy,28,0.010202290564430156
25-34_Long_Horror,30,F,27,35-44_lawyer_Long_Comedy,25,0.034129168770981204
M_25-34_other_Horror,24,F_Long,27,35-44_lawyer_Comedy,25,0.03925776461798336
Long_Thriller,26,18-24_college-grad student,29,F_lawyer_Comedy,25,0.010593295228759892
25-34_scientist_Long,30,25-34_Long_Action,24,35-44_lawyer_Comedy,25,0.031234586567617545
K-12 student,25,F,27,35-44_lawyer_Drama,29,0.02058085438537604
M_25-34_Long_Drama,35,M_18-24_other_Long,31,F_35-44_lawyer_Comedy,25,0.02120677648329191
35-44_academic-educator_Long,27,M_Adventure,29,F_35-44_Long_Comedy,26,0.020153320775993733
War,25,M_programmer_Long,36,lawyer_Drama,29,0.026332623270255835
F_<18,25,M_18-24_other_Long,31,35-44_Long_Comedy,26,0.020701209501298567
35-44_academic-educator,27,25-34_Long_Action,24,35-44_Long_Comedy,26,0.014507573573898884
25-34_scientist_Long,30,25-34_Long_Comedy,26,F_35-44_lawyer_Long_Comedy,25,0.03639195807002794
<18_Long,25,M_18-24_other_Long,31,F_Comedy,28,0.019878455792448145
K-12 student_Long,25,18-24_other_Long,31,lawyer_Comedy,25,0.017813470054839846
Thriller,26,M_18-24_other_Long,31,F_35-44_lawyer_Long_Comedy,25,0.0036923970956352996
25-34_other_Long_Horror,24,M_18-24_college-grad student_Long,29,lawyer_Comedy,25,0.015346556413003538
25-34_scientist_Long,30,M_18-24_college-grad student,29,35-44_lawyer_Comedy,25,0.030849807255216098
M_scientist_Long,30,Long_Sci-Fi,23,35-44_lawyer_Long_Comedy,25,0.029930277946777925
F_sales-marketing,79,M_Comedy,84,35-44_lawyer,86,2.1965909607347495e-06
M_25-34_other_Horror,24,18-24_college-grad student,29,F_lawyer_Comedy,25,0.015346556413003538
25-34_scientist,30,Long_Sci-Fi,23,F_35-44_lawyer_Long_Comedy,25,0.029930277946777925
M_25-34_scientist,30,M_18-24_college-grad student_Long,29,35-44_lawyer_Comedy,25,0.030849807255216098
M_35-44_Long,24,M_35-44_programmer,31,F_lawyer_Drama,29,0.00030981949563722
M_25-34_Long_Comedy,21,M_18-24_college-grad student_Long,29,35-44_lawyer_Comedy,25,0.019923487150949645
M_academic-educator,31,35-44_programmer_Long,31,M_Long,37,0.013773775598768587
F_Long_Action,21,M_18-24_college-grad student,29,35-44_Comedy,26,0.02108031972284965
35-44_academic-educator,27,18-24_other_Long,31,lawyer_Drama,29,0.00024758824277905936
<18_K-12 student_Long,25,18-24_college-grad student,29,35-44_Comedy,26,0.03025321784384257
academic-educator,38,M_scientist_Long_Comedy,42,Long_Drama,41,6.361106815977597e-05
25-34_Long_Comedy,22,Sci-Fi,23,lawyer_Comedy,25,0.038519920280546766
M_25-34_Adventure,23,Long_Sci-Fi,23,lawyer_Comedy,25,0.042734214218712374
M_25-34_Horror,30,F,27,lawyer_Long_Comedy,25,0.034129168770981204
F_<18_K-12 student_Long,25,F_Long,27,35-44_lawyer_Long_Drama,29,0.02058085438537604
M_18-24_Long,23,F,27,35-44_lawyer_Long_Comedy,25,0.0009062068227094389
other_Horror,25,M_18-24_other_Long,31,F_lawyer_Drama,29,0.00042366758893734493
25-34_Long_Drama,35,18-24_other,34,35-44_lawyer_Long_Drama,29,0.0009238282500266229
M_Long_Comedy,29,18-24_other_Long,31,F_35-44_lawyer_Comedy,25,0.009142521503841324
M_25-34_other,106,35-44_Long,115,F,103,1.0073845979960638e-14
M_academic-educator_Long,31,M_programmer,36,35-44_Comedy,26,0.00033847553662451617
Long_War,25,M_Long_Adventure,29,F_lawyer_Drama,29,0.0019097576495763614
M_25-34_Horror,30,M_18-24_other_Long,31,Long_Comedy,32,0.002478246603489379
M_25-34_Long_Horror,30,18-24_other_Long,31,F_Long_Drama,32,8.130715345492458e-05
scientist,30,M_35-44_Drama,22,35-44_lawyer_Long_Comedy,25,0.027669751525943982
Long_War,25,Sci-Fi,23,F_35-44_Comedy,26,0.0001848770339085349
25-34_Horror,30,M_Long_Action,42,lawyer_Drama,29,0.029554688551098444
<18_K-12 student_Long,25,F,27,F_35-44_Long_Drama,29,0.02058085438537604
M_18-24_Long,23,M_Long_Adventure,29,F_lawyer_Long_Comedy,25,0.008420625795640407
Long_Thriller,26,18-24_college-grad student_Long,29,F_35-44_lawyer_Comedy,25,0.010593295228759892
M_25-34_other_Long_Horror,24,F,27,F_Long_Comedy,27,0.0392187804957028
M_academic-educator,31,M_18-24_other,34,F_35-44_lawyer_Drama,29,7.921715611331594e-07
Thriller,26,Long_Adventure,32,lawyer_Drama,29,0.04670119371339582
35-44_academic-educator,27,Long_Adventure,32,F_lawyer_Long_Comedy,25,0.016402919881554533
M_Long_Drama,50,35-44_Long_Comedy,47,Long_Drama,41,0.00014294441642852794
25-34_Sci-Fi,22,M_18-24_college-grad student,29,35-44_Long_Comedy,26,0.022440002960029317
M_35-44_Long,24,18-24_college-grad student_Long,29,F_Long_Comedy,27,0.002218354075734782
