group1,group2,coverage_gained_1,coverage_gained_2,p-value,threshold,method,adjustment
other,M_35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
M_other_Long,35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
M_other_Long,M_35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
M_other,35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
other_Long,M_35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
M_other,M_35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
other,35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
other_Long,35-44_Long,0.14285714285714285,0.20833333333333334,1.9556410158418907e-15,-1,Traditional,Benjamini
M_other,35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
M_other,M_35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
M_other_Long,M_35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
other,M_35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
other,35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
other_Long,35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
M_other_Long,35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
other_Long,M_35-44,0.14285714285714285,0.20833333333333334,3.862607955892633e-15,-1,Traditional,Benjamini
25-34_other,35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
M_25-34_other,35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
M_25-34_other_Long,M_35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
M_25-34_other,M_35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
25-34_other_Long,M_35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
M_25-34_other_Long,35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
25-34_other_Long,35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
25-34_other,M_35-44_Long,0.14285714285714285,0.20833333333333334,6.478558977732325e-15,-1,Traditional,Benjamini
