grp1,grp1_size,grp2,grp2_size,p-value,chi-squared test
F,458,F,458,0.4999999999998467,1.0
F,458,F_Long,458,0.4999999999998467,1.0
M,1495,M,1495,0.4999999999996107,1.0
M,1495,M_Long,1495,0.4999999999996107,1.0
18-24,421,18-24,421,0.500000000000185,1.0
18-24,421,18-24_Long,421,0.500000000000185,1.0
25-34,1040,25-34,1040,0.5000000000000742,1.0
25-34,1040,25-34_Long,1040,0.5000000000000742,1.0
35-44,279,35-44,279,0.5000000000000281,1.0
35-44,279,college-grad student,288,0.01948708361893503,0.6703899594644775
35-44,279,35-44_Long,279,0.5000000000000281,1.0
35-44,279,college-grad student_Long,288,0.01948708361893503,0.6703899594644775
45-49,76,Crime,74,0.9502870089001196,1.0
45-49,76,F_executive-managerial,76,0.7744186726424742,0.6123571131887178
45-49,76,F_other,77,0.9694421433038426,0.3631862345271454
45-49,76,F_Comedy,81,0.4480371564052272,0.3681202506935192
45-49,76,F_Drama,71,0.6385984613551801,0.13259088905526326
45-49,76,18-24_programmer,82,0.4046284395573367,0.13380390579272927
45-49,76,25-34_Horror,83,0.08994138399386555,1.0
45-49,76,Long_Crime,74,0.9502870089001196,1.0
45-49,76,M_18-24_programmer,82,0.4046284395573367,0.13380390579272927
45-49,76,F_executive-managerial_Long,76,0.7744186726424742,0.6123571131887178
45-49,76,F_other_Long,77,0.9694421433038426,0.3631862345271454
45-49,76,F_Long_Comedy,81,0.4480371564052272,0.3681202506935192
45-49,76,F_Long_Drama,71,0.6385984613551801,0.13259088905526326
45-49,76,18-24_programmer_Long,82,0.4046284395573367,0.13380390579272927
45-49,76,25-34_Long_Horror,83,0.08994138399386555,1.0
45-49,76,M_18-24_programmer_Long,82,0.4046284395573367,0.13380390579272927
50-55,73,clerical-admin,77,0.010501538139913348,0.11990283020623135
50-55,73,self-employed,67,0.593820885228427,0.2450911480868329
50-55,73,Crime,74,0.9934054493334176,0.2111709676258268
50-55,73,F_executive-managerial,76,0.9459217651333816,0.06933848775537035
50-55,73,M_academic-educator,69,0.955788875332396,0.2450911480868329
50-55,73,F_Comedy,81,0.7727826705191705,0.06527091191571763
50-55,73,F_Drama,71,0.8843028584885405,0.7431781371351189
50-55,73,M_Crime,63,0.9801754403902816,0.10194754630074034
50-55,73,25-34_Horror,83,0.3264053420033343,0.5079052621596285
50-55,73,clerical-admin_Long,77,0.010501538139913348,0.11990283020623135
50-55,73,self-employed_Long,67,0.593820885228427,0.2450911480868329
50-55,73,Long_Crime,74,0.9934054493334176,0.2111709676258268
50-55,73,F_25-34_executive-managerial,63,0.8946419739351674,0.10194754630074034
50-55,73,F_executive-managerial_Long,76,0.9459217651333816,0.06933848775537035
50-55,73,M_academic-educator_Long,69,0.955788875332396,0.2450911480868329
50-55,73,F_Long_Comedy,81,0.7727826705191705,0.06527091191571763
50-55,73,F_Long_Drama,71,0.8843028584885405,0.7431781371351189
50-55,73,M_Long_Crime,63,0.9801754403902816,0.10194754630074034
50-55,73,25-34_Long_Horror,83,0.3264053420033343,0.5079052621596285
50-55,73,F_25-34_executive-managerial_Long,63,0.8946419739351674,0.10194754630074034
<18,55,<18,55,0.5000000000000001,1.0
<18,55,scientist,52,0.9468701784282552,0.7748122022199505
<18,55,unemployed,50,0.5237950158205713,0.06873636769896824
