threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,evaluation_cases_time,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
-1,Traditional,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,1412.0,0.0,0.0012277679207594128,0.20170436243054135,0.945,0.76,0.8525,0.6720490455627441
-1,Traditional,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,1008.0,0.0,5.378880996438108e-06,4.2977741998851927e-05,0.825,0.655,0.74,0.10839104652404785
-1,Coverage_Two_Sides,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,43.0,0.0,0.0008086855885361085,0.006209879976199454,0.945,0.76,0.8525,9.289049863815308
-1,Coverage_Two_Sides,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,36.0,0.0,5.378880996438108e-06,1.074443549971298e-05,0.825,0.655,0.74,26.375784158706665
-1,Coverage_Side_1,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,26.0,0.0,0.0007724611113989142,0.0027100457964880018,0.945,0.41,0.6775,2.578188180923462
-1,Coverage_Side_1,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,29.0,0.0,5.378880996438108e-06,1.074443549971298e-05,0.825,0.475,0.6499999999999999,10.37399411201477
-1,Coverage_Side_2,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,28.0,0.0,0.0008056073879429469,0.0028224431069848797,0.48,0.76,0.62,3.090068817138672
-1,Coverage_Side_2,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,23.0,0.0,0.0,0.0,0.45,0.655,0.5525,9.94953989982605
-1,Coverage_alpha_investing,gamma_10,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,0.0,,,0.0,,,,46.79392194747925
-1,Coverage_alpha_investing,gamma_20,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,0.0,,,0.0,,,,50.69633197784424
-1,Coverage_alpha_investing,gamma_50,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,0.0,,,0.0,,,,48.32298922538757
