grp1,grp1_size,grp2,grp2_size,p-value
F_>56_scientist_90's,21,1,0,0.0049954123083075785
>56_self-employed_50's,19,1,0,1.8351047101281386e-05
M_doctor-health care_Long_30's,74,1,0,8.570090512692436e-07
F_18-24_K-12 student_90's,44,1,0,0.00010790691068528301
25-34_college-grad student_20's,19,1,0,0.007056009147493459
F_K-12 student_2000's,143,1,0,1.589939176998122e-11
M_unemployed_Long_30's,25,1,0,0.0025241297068125963
M_lawyer_20's,28,1,0,0.0015214322653226647
M_doctor-health care_Long_20's,19,1,0,0.007056009147493459
M_>56_self-employed_60's,37,1,0,0.00034035704895746943
18-24_technician-engineer_Long_60's,23,1,0,0.0035466004281163644
F_25-34_tradesman-craftsman_90's,25,1,0,0.0025241297068125963
35-44_artist_Long_2000's,84,1,0,1.7430706686422952e-07
M_50-55_customer service_2000's,21,1,0,0.0049954123083075785
M_doctor-health care_20's,27,1,0,0.0018002486106697359
M_18-24_doctor-health care_50's,16,1,0,0.011921495938159686
F_18-24_K-12 student_Long,65,1,0,3.6170210951655312e-06
35-44_artist_2000's,84,1,0,1.7430706686422952e-07
M_25-34_college-grad student_20's,16,1,0,0.011921495938159686
M_25-34_college-grad student_30's,62,1,0,5.85509393074879e-06
M_18-24_customer service_Long_2000's,17,1,0,0.00999978095310478
18-24_Long_20's,43,1,0,0.00012706561400666492
F_18-24_writer_Long_70's,57,1,0,1.3095471396225749e-05
M_lawyer_Long_20's,21,1,0,0.0049954123083075785
M_>56_self-employed_Long_80's,157,1,0,1.7748125196144841e-12
M_50-55_customer service_Long_2000's,21,1,0,0.0049954123083075785
F_18-24_writer_70's,57,1,0,1.3095471396225749e-05
>56_self-employed_Long_80's,206,1,0,8.460935799849304e-16
doctor-health care_20's,36,1,0,0.000401452395424102
M_25-34_college-grad student_Long_40's,55,1,0,1.8085224515459193e-05
M_18-24_customer service_2000's,17,1,0,0.00999978095310478
>56_artist_Long_2000's,28,1,0,0.0015214322653226647
M_>56_self-employed_80's,159,1,0,1.2979443714719783e-12
unemployed_30's,33,1,0,0.0006599275525999399
M_>56_self-employed_Long_60's,37,1,0,0.00034035704895746943
F_18-24_customer service_Long_90's,43,1,0,0.00012706561400666492
M_25-34_unemployed_Long_50's,20,1,0,0.005934709007201109
F_50-55_executive-managerial_70's,33,1,0,0.0006599275525999399
F_>56_scientist_Long_90's,21,1,0,0.0049954123083075785
M_18-24_Long_20's,31,1,0,0.0009206823961486636
F_50-55_executive-managerial_Long_70's,33,1,0,0.0006599275525999399
M_18-24_20's,56,1,0,1.5388438434289805e-05
unemployed_Long_30's,33,1,0,0.0006599275525999399
F_45-49_writer_2000's,80,1,0,3.2932833004838996e-07
F_25-34_unemployed_Long_2000's,18,1,0,0.00839612294413058
F_18-24_K-12 student_Long_90's,44,1,0,0.00010790691068528301
lawyer_Long_20's,23,1,0,0.0035466004281163644
>56_self-employed_Long_60's,46,1,0,7.786592844143686e-05
18-24_technician-engineer_60's,23,1,0,0.0035466004281163644
F_45-49_writer_Long_2000's,80,1,0,3.2932833004838996e-07
F_18-24_K-12 student,65,1,0,3.6170210951655312e-06
18-24_doctor-health care_50's,16,1,0,0.011921495938159686
50-55_customer service_2000's,21,1,0,0.0049954123083075785
F_25-34_tradesman-craftsman_Long_90's,25,1,0,0.0025241297068125963
F_K-12 student_Long_2000's,143,1,0,1.589939176998122e-11
F_50-55_academic-educator_Long_2000's,16,1,0,0.011921495938159686
>56_self-employed_Long_50's,19,1,0,1.8351047101281386e-05
50-55_customer service_Long_2000's,21,1,0,0.0049954123083075785
M_25-34_unemployed_50's,20,1,0,0.005934709007201109
M_doctor-health care_30's,74,1,0,8.570090512692436e-07
M_18-24_doctor-health care_Long_50's,16,1,0,0.011921495938159686
18-24_doctor-health care_Long_50's,16,1,0,0.011921495938159686
doctor-health care_Long_20's,25,1,0,0.0025241297068125963
M_25-34_college-grad student_40's,57,1,0,1.3095471396225749e-05
>56_self-employed_60's,46,1,0,7.786592844143686e-05
F_18-24_customer service_90's,43,1,0,0.00012706561400666492
F_25-34_unemployed_2000's,18,1,0,0.00839612294413058
F_<18_2000's,168,1,0,3.177623101889522e-13
>56_artist_2000's,28,1,0,0.0015214322653226647
>56_self-employed_80's,209,1,0,5.302561890625647e-16
F_<18_K-12 student_2000's,143,1,0,1.589939176998122e-11
M_25-34_college-grad student_Long_30's,62,1,0,5.85509393074879e-06
M_45-49_lawyer_90's,246,1,0,1.6779308320320624e-18
F_50-55_academic-educator_2000's,16,1,0,0.011921495938159686
F_<18_Long_2000's,168,1,0,3.177623101889522e-13
F_>56_scientist,41,1,0,0.0001763028977385677
F_<18_K-12 student_Long_2000's,143,1,0,1.589939176998122e-11
lawyer_20's,31,1,0,0.0009206823961486636
M_unemployed_30's,25,1,0,0.0025241297068125963
