group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples,wealth,alpha_j,nb_refus_before
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,-1,TRAD_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,-1,TRAD_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,-1,TRAD_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,-1,TRAD_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,-1,TRAD_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,-1,TRAD_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,-1,TRAD_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,-1,TRAD_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,-1,COVER_G_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,-1,COVER_G_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,-1,COVER_G_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,-1,COVER_G_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,-1,COVER_G_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,-1,COVER_G_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,-1,COVER_G_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,-1,COVER_G_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,-1,COVER_𝛂_50,10.0,0.0090830471307827,5.995634229520019e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,-1,COVER_𝛂_100,10.0,0.0282840487267105,2.9992404018281636e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,-1,COVER_𝛂_200,10.0,0.0378901545418453,1.4999762761439315e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,25,TRAD_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,25,TRAD_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,25,TRAD_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,25,TRAD_BY,10.0,,,
