num_max_hypo,threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
10.0,-1,Traditional,Benjamini,0,0,0,0,1681.0,2.0253686658408146e-22,0.003749447590843613,0.9486003535356664,0.9975845410628019,0.9905660377358491,0.9940752893993254,58.87081599235535
10.0,-1,Traditional,Bonferroni,0,0,0,0,683.0,2.0253686658408146e-22,1.9072795650831864e-05,0.0022911295380561645,0.9734299516908212,0.9433962264150944,0.9584130890529579,58.417320013046265
10.0,-1,Coverage_Two_Sides,Benjamini,0,0,0,0,44.0,3.3995029014022293e-13,0.003137288250903203,0.02530417447296162,0.9975845410628019,0.9905660377358491,0.9940752893993254,58.953686237335205
10.0,-1,Coverage_Two_Sides,Bonferroni,0,0,0,0,58.0,2.0253686658408146e-22,1.6624854030311553e-05,0.00012841041322136037,0.9734299516908212,0.9433962264150944,0.9584130890529579,60.707435846328735
10.0,-1,Coverage_Side_1,Benjamini,0,0,0,0,42.0,3.709252802389565e-21,0.0027495049767027133,0.0036804470687990145,0.9975845410628019,0.660377358490566,0.828980949776684,58.63263010978699
10.0,-1,Coverage_Side_1,Bonferroni,0,0,0,0,41.0,3.709252802389565e-21,1.1522425365506628e-05,4.697385634032799e-05,0.9734299516908212,0.6132075471698113,0.7933187494303162,58.92577314376831
10.0,-1,Coverage_Side_2,Benjamini,0,0,0,0,26.0,2.0253686658408146e-22,0.002123753087473923,0.006631821429458429,0.5917874396135265,0.9905660377358491,0.7911767386746877,58.6813108921051
10.0,-1,Coverage_Side_2,Bonferroni,0,0,0,0,34.0,2.0253686658408146e-22,1.646985102277121e-05,7.258736153260526e-05,0.5700483091787439,0.9433962264150944,0.7567222677969192,58.79110789299011
10.0,-1,Coverage_alpha_investing,gamma_20,0,0,0,0,12.0,4.440892098500626e-16,0.0005130332803019444,0.0016805057711617444,0.785024154589372,0.789308176100629,0.7871661653450005,50.43560028076172
10.0,-1,Coverage_alpha_investing,gamma_50,0,0,0,0,36.0,1.549760320074256e-12,0.00010122165056059007,0.0004712664819767065,0.9396135265700483,0.9528301886792453,0.9462218576246468,23.156543016433716
10.0,-1,Coverage_alpha_investing,gamma_100,0,0,0,0,52.0,3.3995029014022293e-13,0.00010122165056059007,0.00041005316548713914,0.9806763285024155,0.9779874213836478,0.9793318749430316,11.464469194412231
10.0,-1,Coverage_alpha_investing,gamma_200,0,0,0,0,56.0,1.0994975798547812e-17,2.7094363958313217e-05,0.000164940568965736,0.9734299516908212,0.9748427672955975,0.9741363594932093,13.976492166519165
10.0,25,Traditional,Benjamini,0,0,0,0,25.0,2.0253686658408146e-22,2.7997604234997198e-12,1.5261445419942386e-11,0.4855072463768116,0.20754716981132076,0.3465272080940662,58.32691526412964
10.0,25,Traditional,Bonferroni,0,0,0,0,25.0,2.0253686658408146e-22,2.7997604234997198e-12,1.5261445419942386e-11,0.4855072463768116,0.20754716981132076,0.3465272080940662,58.32279896736145
10.0,25,Coverage_Two_Sides,Benjamini,0,0,0,0,25.0,1.549760320074256e-12,0.0027495049767027133,0.016374135508947542,0.9299516908212561,0.949685534591195,0.9398186127062256,58.673194885253906
10.0,25,Coverage_Two_Sides,Bonferroni,0,0,0,0,25.0,1.549760320074256e-12,1.6624854030311553e-05,5.727145694656155e-05,0.8743961352657005,0.8270440251572327,0.8507200802114666,59.45158004760742
10.0,25,Coverage_Side_1,Benjamini,0,0,0,0,25.0,3.709252802389565e-21,0.0027495049767027133,0.0031418772229058166,0.9468599033816425,0.5817610062893082,0.7643104548354753,58.50219988822937
10.0,25,Coverage_Side_1,Bonferroni,0,0,0,0,25.0,3.709252802389565e-21,1.1522425365506628e-05,3.591426539685887e-05,0.9202898550724637,0.5566037735849056,0.7384468143286846,58.7565701007843
10.0,25,Coverage_Side_2,Benjamini,0,0,0,0,25.0,2.0253686658408146e-22,0.002123753087473923,0.005920855562502581,0.5917874396135265,0.9874213836477987,0.7896044116306626,58.512117862701416
10.0,25,Coverage_Side_2,Bonferroni,0,0,0,0,25.0,2.0253686658408146e-22,1.646985102277121e-05,5.257552642531439e-05,0.5241545893719807,0.89937106918239,0.7117628292771854,58.754133224487305
10.0,25,Coverage_alpha_investing,gamma_20,0,0,0,0,12.0,4.440892098500626e-16,0.0005130332803019444,0.0016805057711617444,0.785024154589372,0.789308176100629,0.7871661653450005,53.31930184364319
10.0,25,Coverage_alpha_investing,gamma_50,0,0,0,0,25.0,1.549760320074256e-12,0.00010122165056059007,0.0004207571886926109,0.8743961352657005,0.9025157232704403,0.8884559292680704,6.007329940795898
10.0,25,Coverage_alpha_investing,gamma_100,0,0,0,0,25.0,1.549760320074256e-12,0.00010122165056059007,0.00031057649041332173,0.8623188405797102,0.9119496855345912,0.8871342630571507,5.780943870544434
10.0,25,Coverage_alpha_investing,gamma_200,0,0,0,0,25.0,1.549760320074256e-12,2.7094363958313217e-05,0.00011891897409923136,0.8671497584541062,0.8867924528301887,0.8769711056421474,6.3817222118377686
10.0,20,Traditional,Benjamini,0,0,0,0,20.0,2.0253686658408146e-22,1.549760320074256e-12,4.329247484760092e-12,0.4468599033816425,0.16666666666666666,0.30676328502415456,58.32543182373047
10.0,20,Traditional,Bonferroni,0,0,0,0,20.0,2.0253686658408146e-22,1.549760320074256e-12,4.329247484760092e-12,0.4468599033816425,0.16666666666666666,0.30676328502415456,58.321693897247314
10.0,20,Coverage_Two_Sides,Benjamini,0,0,0,0,20.0,1.549760320074256e-12,0.0027495049767027133,0.012192747310291555,0.8961352657004831,0.9182389937106918,0.9071871297055875,58.74118113517761
10.0,20,Coverage_Two_Sides,Bonferroni,0,0,0,0,20.0,1.549760320074256e-12,1.6624854030311553e-05,5.398662187916514e-05,0.8405797101449275,0.779874213836478,0.8102269619907028,59.12929701805115
10.0,20,Coverage_Side_1,Benjamini,0,0,0,0,20.0,3.709252802389565e-21,0.0027495049767027133,0.0030988228942217515,0.9202898550724637,0.5566037735849056,0.7384468143286846,58.60738492012024
10.0,20,Coverage_Side_1,Bonferroni,0,0,0,0,20.0,3.709252802389565e-21,1.1522425365506628e-05,3.062587311144007e-05,0.8840579710144928,0.5188679245283019,0.7014629477713974,58.576858043670654
10.0,20,Coverage_Side_2,Benjamini,0,0,0,0,20.0,2.4386009655997348e-19,0.002123753087473923,0.005920384173413818,0.5845410628019324,0.9685534591194969,0.7765472609607147,58.48772311210632
