group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
Others,115_130315,0.0797546012269938,0.1045845272206303,1.4650227286582017e-58,-1,TRAD_BY,10.0
100312,Others_130315,0.1794478527607362,0.1368194842406876,1.423292700926442e-23,-1,TRAD_BY,10.0
114,Others_130315,0.2116564417177914,0.1368194842406876,3.839889633169029e-23,-1,TRAD_BY,10.0
110411,110406,0.294478527607362,0.1848137535816618,1.2038123231146918e-18,-1,TRAD_BY,10.0
100205,321301,0.3987730061349693,0.1977077363896848,3.1594747101100052e-09,-1,TRAD_BY,10.0
110507,115_110406,0.4478527607361963,0.1977077363896848,1.00065644509581e-08,-1,TRAD_BY,10.0
100312,114_130315,0.4478527607361963,0.2084527220630372,1.9281770662005545e-08,-1,TRAD_BY,10.0
221_110411,114_130315,0.4478527607361963,0.2084527220630372,1.1201986437468865e-06,-1,TRAD_BY,10.0
130201,321301,0.4585889570552147,0.2084527220630372,1.0257909503303752e-05,-1,TRAD_BY,10.0
100205,110410,0.4585889570552147,0.2206303724928366,1.7152474854958612e-05,-1,TRAD_BY,10.0
530101,115_110406,0.495398773006135,0.2206303724928366,2.218835535720377e-05,-1,TRAD_BY,10.0
500804,110410,0.5138036809815951,0.2206303724928366,0.0001295159250852,-1,TRAD_BY,10.0
105,221_110406,0.5168711656441718,0.2206303724928366,0.0001974178899455,-1,TRAD_BY,10.0
110401,221_110406,0.5552147239263804,0.2206303724928366,0.0003841870678542,-1,TRAD_BY,10.0
100507,110410,0.5766871165644172,0.2206303724928366,0.000530661821461,-1,TRAD_BY,10.0
115_100205,130308,0.5766871165644172,0.2342406876790831,0.0016821848865782,-1,TRAD_BY,10.0
Others,115_130315,0.0797546012269938,0.1045845272206303,1.4650227286582017e-58,-1,TRAD_BN,10.0
100312,Others_130315,0.1794478527607362,0.1368194842406876,1.423292700926442e-23,-1,TRAD_BN,10.0
114,Others_130315,0.2116564417177914,0.1368194842406876,3.839889633169029e-23,-1,TRAD_BN,10.0
