grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
30-34_110,29,50-54,74,25-29,110,0.00021893699155201428
30-34_110,29,30-34_115,57,110,96,0.0009190276207355517
60-64,33,25-29,120,35-39_Others,36,0.0004719968327056906
50-54_115,50,45-49_115,81,Others,113,0.01974675728697608
50-54,80,30-34_221,89,110,96,0.0008704394430625843
60-64,33,114,71,>65,49,0.011275735275426227
30-34_110,29,35-39_114,21,114,55,0.03502758207712104
60-64,33,25-29_221,33,30-34_221,80,0.003764699177900511
50-54_115,50,35-39_115,110,50-54,75,0.011232509345979672
60-64,33,25-29,120,110,96,3.5540428789840835e-05
30-34_110,29,<25,47,<25,59,0.0012223498745435623
50-54,80,35-39_115,110,114,55,0.007782646698964171
35-39_115,126,30-34,223,45-49,138,0.0034407441434802168
30-34_110,29,45-49_115,81,45-49_221,37,0.0013030481237592164
60-64_115,26,25-29,120,35-39_Others,36,0.003263441128309982
60-64,33,Unknown,45,55-59,37,0.041804887888267216
50-54_115,50,35-39_115,110,>65,49,0.007465466017804752
60-64,33,35-39_110,29,<25_115,28,0.028728043132109738
30-34_115,99,>65,35,35-39_Others,36,0.03135095645494795
60-64_115,26,30-34_221,89,106,40,0.0017872232590729206
30-34_221,79,55-59,28,50-54_221,22,0.03548451654505661
30-34_115,99,30-34_221,89,40-44_221,68,0.0030631853318556306
60-64,33,<25,47,Others,113,0.01272806216157234
25-29,132,45-49_115,81,30-34,214,0.014250950509227598
30-34_110,29,25-29,120,<25,59,5.814970391128896e-06
25-29_221,28,45-49_115,81,110,96,0.043772741250551084
30-34_110,29,50-54_115,42,35-39_Others,36,0.019390742196463445
221,388,45-49,177,40-44,217,0.003778989891597322
30-34_110,29,35-39_110,29,106,40,0.007351141924027958
45-49_115,93,55-59,28,30-34_221,80,0.028193077558400236
60-64,33,25-29,120,50-54,75,0.0014606626143765322
60-64_115,26,35-39_114,21,30-34_221,80,0.01737278968967791
60-64,33,30-34_115,57,<25_115,28,0.04653274285734127
30-34_110,29,50-54,74,40-44_115,93,0.013056457245447635
30-34_110,29,Unknown,45,25-29,110,0.0001896836065334821
30-34_110,29,30-34_Others,36,110,96,0.00019745385397332223
40-44_110,24,35-39_115,110,110,96,0.014551408735653238
