samples,n,algorithm,#AllCandidates,#Candidates,#Results_noAdjustement,grouping_time,#Results,Min_p_value,Max_p_value,Sum_p_value,Total Cov,p_value_adjustement_time
10.0,-1,TRAD_BY,3968.0,1214.0,208.0,5.984905958175659,31.0,1.6709344557500188e-06,0.0012553932868799,0.0128421136467162,0.6864988248996484,32.51356482505798
10.0,-1,TRAD_BN,3968.0,1214.0,208.0,5.984905958175659,14.0,1.6709344557500188e-06,0.000231219717394,0.001369044010078,0.5824202907593437,32.5092248916626
10.0,-1,COVER_G_BY,3968.0,1214.0,208.0,5.984905958175659,11.0,1.6709344557500188e-06,0.0017089741712329,0.0064492385375375,0.6924128033942721,32.91107487678528
10.0,-1,COVER_G_BN,3968.0,1214.0,208.0,5.984905958175659,6.0,1.6709344557500188e-06,0.000231219717394,0.0005035658012449,0.5824202907593437,33.005974769592285
10.0,-1,COVER_𝛂_20,3968.0,1214.0,208.0,5.984905958175659,1.0,1.6709344557500188e-06,1.6709344557500188e-06,1.6709344557500188e-06,0.4311380794908591,31.335834980010983
10.0,-1,COVER_𝛂_50,3968.0,1214.0,208.0,5.984905958175659,2.0,1.6709344557500188e-06,3.2809122542619766e-05,3.4480056998369785e-05,0.4897880659720056,28.95792531967163
10.0,-1,COVER_𝛂_100,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,4.41521581763404e-05,8.374047134572393e-05,0.5501622262432146,27.18094277381897
10.0,-1,COVER_𝛂_200,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,3.2809122542619766e-05,6.188448484053508e-05,0.5467773132838336,24.72347092628479
10.0,25,TRAD_BY,3968.0,1214.0,208.0,5.984905958175659,25.0,1.6709344557500188e-06,0.0008504310622389,0.0066560116690021,0.6270439466733221,32.511088848114014
10.0,25,TRAD_BN,3968.0,1214.0,208.0,5.984905958175659,14.0,1.6709344557500188e-06,0.000231219717394,0.001369044010078,0.5824202907593437,32.50875496864319
10.0,25,COVER_G_BY,3968.0,1214.0,208.0,5.984905958175659,11.0,1.6709344557500188e-06,0.0017089741712329,0.0064492385375375,0.6924128033942721,32.91318678855896
10.0,25,COVER_G_BN,3968.0,1214.0,208.0,5.984905958175659,6.0,1.6709344557500188e-06,0.000231219717394,0.0005035658012449,0.5824202907593437,33.06971383094788
10.0,25,COVER_𝛂_20,3968.0,1214.0,208.0,5.984905958175659,1.0,1.6709344557500188e-06,1.6709344557500188e-06,1.6709344557500188e-06,0.4311380794908591,31.571233987808228
10.0,25,COVER_𝛂_50,3968.0,1214.0,208.0,5.984905958175659,2.0,1.6709344557500188e-06,3.2809122542619766e-05,3.4480056998369785e-05,0.4897880659720056,27.579604864120483
10.0,25,COVER_𝛂_100,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,4.41521581763404e-05,8.374047134572393e-05,0.5501622262432146,22.092155933380127
10.0,25,COVER_𝛂_200,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,3.2809122542619766e-05,6.188448484053508e-05,0.5467773132838336,22.7726149559021
10.0,20,TRAD_BY,3968.0,1214.0,208.0,5.984905958175659,20.0,1.6709344557500188e-06,0.0004465287678426,0.003571862156345,0.5985493230174082,32.5089750289917
10.0,20,TRAD_BN,3968.0,1214.0,208.0,5.984905958175659,14.0,1.6709344557500188e-06,0.000231219717394,0.001369044010078,0.5824202907593437,32.508078813552856
10.0,20,COVER_G_BY,3968.0,1214.0,208.0,5.984905958175659,11.0,1.6709344557500188e-06,0.0017089741712329,0.0064492385375375,0.6924128033942721,32.85337972640991
10.0,20,COVER_G_BN,3968.0,1214.0,208.0,5.984905958175659,6.0,1.6709344557500188e-06,0.000231219717394,0.0005035658012449,0.5824202907593437,32.95638704299927
10.0,20,COVER_𝛂_20,3968.0,1214.0,208.0,5.984905958175659,1.0,1.6709344557500188e-06,1.6709344557500188e-06,1.6709344557500188e-06,0.4311380794908591,24.982836961746216
10.0,20,COVER_𝛂_50,3968.0,1214.0,208.0,5.984905958175659,2.0,1.6709344557500188e-06,3.2809122542619766e-05,3.4480056998369785e-05,0.4897880659720056,23.75696897506714
10.0,20,COVER_𝛂_100,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,4.41521581763404e-05,8.374047134572393e-05,0.5501622262432146,22.724251985549927
10.0,20,COVER_𝛂_200,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,3.2809122542619766e-05,6.188448484053508e-05,0.5467773132838336,22.818495988845825
10.0,15,TRAD_BY,3968.0,1214.0,208.0,5.984905958175659,15.0,1.6709344557500188e-06,0.0002601615373132,0.0016292055473912,0.5824202907593437,32.508479595184326
10.0,15,TRAD_BN,3968.0,1214.0,208.0,5.984905958175659,14.0,1.6709344557500188e-06,0.000231219717394,0.001369044010078,0.5824202907593437,32.50784683227539
10.0,15,COVER_G_BY,3968.0,1214.0,208.0,5.984905958175659,11.0,1.6709344557500188e-06,0.0017089741712329,0.0064492385375375,0.6924128033942721,32.852149963378906
10.0,15,COVER_G_BN,3968.0,1214.0,208.0,5.984905958175659,6.0,1.6709344557500188e-06,0.000231219717394,0.0005035658012449,0.5824202907593437,32.958704710006714
10.0,15,COVER_𝛂_20,3968.0,1214.0,208.0,5.984905958175659,1.0,1.6709344557500188e-06,1.6709344557500188e-06,1.6709344557500188e-06,0.4311380794908591,25.319118976593018
10.0,15,COVER_𝛂_50,3968.0,1214.0,208.0,5.984905958175659,2.0,1.6709344557500188e-06,3.2809122542619766e-05,3.4480056998369785e-05,0.4897880659720056,23.28873085975647
10.0,15,COVER_𝛂_100,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,4.41521581763404e-05,8.374047134572393e-05,0.5501622262432146,21.787168979644772
10.0,15,COVER_𝛂_200,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,3.2809122542619766e-05,6.188448484053508e-05,0.5467773132838336,22.335352897644043
10.0,10,TRAD_BY,3968.0,1214.0,208.0,5.984905958175659,10.0,1.6709344557500188e-06,0.0001886056125051,0.0005121664581519,0.5705923337700962,32.50828170776367
10.0,10,TRAD_BN,3968.0,1214.0,208.0,5.984905958175659,10.0,1.6709344557500188e-06,0.0001886056125051,0.0005121664581519,0.5705923337700962,32.50838088989258
10.0,10,COVER_G_BY,3968.0,1214.0,208.0,5.984905958175659,10.0,1.6709344557500188e-06,0.0012553932868799,0.0047402643663046,0.6864988248996484,32.78178071975708
10.0,10,COVER_G_BN,3968.0,1214.0,208.0,5.984905958175659,6.0,1.6709344557500188e-06,0.000231219717394,0.0005035658012449,0.5824202907593437,32.95432186126709
10.0,10,COVER_𝛂_20,3968.0,1214.0,208.0,5.984905958175659,1.0,1.6709344557500188e-06,1.6709344557500188e-06,1.6709344557500188e-06,0.4311380794908591,24.499755144119263
10.0,10,COVER_𝛂_50,3968.0,1214.0,208.0,5.984905958175659,2.0,1.6709344557500188e-06,3.2809122542619766e-05,3.4480056998369785e-05,0.4897880659720056,23.394834995269772
10.0,10,COVER_𝛂_100,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,4.41521581763404e-05,8.374047134572393e-05,0.5501622262432146,23.893471002578732
10.0,10,COVER_𝛂_200,3968.0,1214.0,208.0,5.984905958175659,4.0,1.6709344557500188e-06,3.2809122542619766e-05,6.188448484053508e-05,0.5467773132838336,25.18893504142761
10.0,5,TRAD_BY,3968.0,1214.0,208.0,5.984905958175659,5.0,1.6709344557500188e-06,3.2809122542619766e-05,9.34098928910276e-05,0.5467773132838336,32.507619857788086
