grp1,grp1_size,grp2,grp2_size,p-value
130308,22,>65_115,46,0.01397518739150272
45-49_Others,42,115_130315,26,0.0025807502784003233
<25_110411,29,115_130315,26,0.005353432098562538
<25,177,25-29,194,0.001423196971930496
<25_115_110411,21,Unknown,58,0.012774540242803112
100511,31,25-29_115,104,0.0007451060879590798
35-39_221,109,Others,146,0.02978107255056861
115_130315,41,<25,75,0.0031261174679970694
45-49_Others,42,106,36,0.038144313604794644
45-49_115,189,110,157,3.3455169705653987e-05
130308,22,115_130315,26,0.006489512505551076
100205,72,45-49_Others,22,0.005550309121815977
60-64_115,75,221_110411,34,0.03634704330277916
110,72,25-29_115,104,0.045476571635070684
50-54_115,62,50-54_115,49,0.0025029203345162676
115_130315,41,30-34_110,44,0.0014712123318014747
50-54,80,50-54_115,49,0.0007730726788344189
40-44_110411,24,>65_115,46,0.011061855426692135
115_110401,68,115_130315,26,0.02530644361433576
<25_110411,29,Unknown,58,0.003806853490985751
130308,22,110401,76,0.02336985206726616
Others,117,100511,30,0.0014460487280157919
Others,117,221_110411,34,4.5259633276062416e-05
100511,31,<25,75,0.0028000672309629326
45-49,267,30-34_221,169,8.094668613178868e-08
50-54_115,62,100511,30,3.2340123291563216e-06
60-64,88,45-49_221,50,0.01719363035720034
130308,22,50-54_115,49,0.001667125712666695
45-49_Others,42,45-49_221,50,0.04807680114393598
115_130315,41,221_110411,34,0.009535364098651189
100511,31,100511,30,0.04477030452771702
60-64_115,75,115_110411,30,1.1840831078857583e-05
115_130315,41,25-29_115,104,4.744788881683171e-06
120103,93,115_110411,30,7.350909773107261e-07
55-59,53,100511,30,0.02306735871850185
25-29_115,84,115_110411,30,3.9995943224013786e-09
>65,55,130315,48,0.01174136579769025
110411,115,35-39_115,195,8.859788622628262e-05
50-54_115,62,221_110411,34,0.0002409723095161409
60-64,88,115_110411,30,7.719239767944863e-06
<25_110411,29,221_110411,34,0.044214101501097725
130315,57,35-39_221,170,7.57049345434524e-09
45-49_Others,42,45-49_Others,22,0.006070601284476007
35-39_115,221,110,157,0.026536414929050012
40-44_110411,24,50-54_221,47,0.02709851052580947
40-44_110411,24,100205,68,0.0013181668074260244
50-54,80,106,36,0.013527599323768347
100205,72,115_130315,26,0.00877018377674954
25-29_115,84,221_110411,34,0.035091919977777164
Unknown,71,50-54_115,49,0.0007201613888431213
130308,22,<25_115,45,0.04716012102915801
45-49_115,189,35-39_115,195,0.027835218875819745
115_110401,68,45-49_115,65,0.04196256256084463
50-54,80,100312,32,0.02707011175666063
35-39_221,109,130315,48,0.0005138695663184922
45-49_Others,42,221_110411,34,0.0006252839749733008
>65,55,40-44_110,52,0.00908972294128274
130308,22,110217,40,0.016216442151354094
115_130315,41,130315,48,5.692965781223247e-05
<25_110411,29,114,42,0.0078428648204385
<25,177,110,157,0.0020203956450034477
<25_115,141,45-49,178,0.0188226835955968
30-34_115,188,35-39_115,195,0.007741778342121974
<25_110411,29,100205,68,0.0039217598947205445
>65,55,115_110411,30,0.006434480222454075
<25_110411,29,45-49_115,65,0.00015582725055451885
35-39_221,109,106,36,0.0182433967745681
130315,57,50-54,128,1.1972313573860305e-07
100511,31,>65,72,0.0037404616831918647
45-49,267,35-39,443,9.070768798591367e-05
60-64_115,75,100511,30,0.0009030387656193684
45-49_221,21,115_130315,26,0.02603159291438517
40-44_110411,24,114,42,0.035512067890590804
25-29,126,221_110411,34,0.01818088844471666
115_130315,41,30-34_115,145,1.1137511907288733e-05
<25_110411,29,115_120103,28,0.020805778543657616
Unknown,71,130315,48,0.00021722679052815774
115_120103,62,221_110411,34,0.008488581573428244
30-34_221,85,25-29,194,0.0040620584294868145
35-39_221,109,221_110411,34,9.755455489457443e-05
100511,31,45-49_115,65,0.013796998599338028
130315,57,110,157,6.416696063382687e-10
35-39_115,221,30-34_221,169,1.199828996589769e-05
Others,117,45-49_221,50,0.0056304314138270195
115_130315,41,40-44_221,118,0.0007422203130510452
30-34,321,40-44,386,2.2991198256328005e-06
<25_115_110411,21,115_130315,26,0.014438457869731969
30-34_110,21,40-44_110,52,0.027431358906331305
55-59_115,46,115_110411,30,6.085889336926442e-08
115_130315,41,45-49_115,65,3.424187611900109e-06
115_110411,85,Others,146,0.010321620597823045
130308,22,100205,68,0.0017980901760513701
115_130315,41,>65,72,0.0046884143999569305
115_110411,85,40-44_115,140,0.0006513622185936319
115_130315,41,115_130315,26,0.0029127678163062276
115_130315,41,35-39_221,170,5.028532451545331e-07
110401,96,110411,72,5.5714988178579006e-11
115_120103,62,45-49_Others,22,0.016180724519042067
25-29,126,25-29,194,0.01842423787631131
115_130315,41,25-29_221,69,0.027459021929881033
30-34_115,188,30-34_115,145,0.0039899727656727
40-44_110411,24,Unknown,58,0.01378009538208047
55-59_115,46,45-49_115,65,0.03342773028687096
<25_115_110411,21,25-29_115,104,0.0025616698401704774
<25_110411,29,<25,75,0.02773664439168977
50-54,80,115_130315,26,0.0010025039394141455
25-29,126,115_110411,30,2.17675322211619e-10
130315,57,40-44_115,140,1.6535578462040235e-08
120103,93,115_130315,26,0.030046548920168004
100511,31,25-29_221,69,0.020791501446204452
>65,55,25-29_115,104,0.008281288163322631
115_130315,41,25-29,194,2.3579025287823185e-08
45-49_115,189,45-49,178,0.00014808215475092812
35-39_115,221,35-39_115,195,0.011278461878282742
130315,57,50-54_115,49,7.533577139839931e-05
110,72,100511,30,0.012545777471987485
100511,31,40-44_221,118,0.000812958955212939
35-39_221,109,110,157,0.048949793345174464
Others,117,30-34_115,145,0.009130031855477894
60-64_115,75,45-49_221,50,0.012239760628864005
30-34,321,30-34_221,169,3.1800749680233054e-06
115_130315,41,115_110411,30,5.548825671553015e-05
130106,39,45-49_Others,22,0.01593518670284999
30-34_110,21,45-49_115,65,0.01994166879482695
100205,72,45-49_221,50,0.01966830004562059
35-39_221,109,115_130315,26,0.002298770987129717
<25_115_110411,21,40-44_221,118,0.04438495813047161
>65,55,35-39_221,170,0.0016652085977493236
35-39_110401,21,40-44_110,52,0.04248051767318883
<25_110411,29,40-44_221,118,0.011979770257089073
30-34_221,85,115_110411,30,7.9941320230148e-09
130315,57,35-39_115,195,6.041314892790695e-08
100511,31,50-54_221,47,0.012926451268729489
100511,31,115_110411,30,1.4118012395702983e-05
Others,117,115_110411,30,1.0290068797047525e-10
<25_115,141,115_110411,30,1.3616330285515232e-11
115_130315,41,50-54_115,49,0.0002754525388226625
50-54,80,30-34_110,44,0.04994956438489295
130308,22,<25,75,0.012783644446088815
130308,22,55-59,51,0.021109673640503424
35-39_221,109,115_110411,30,3.564483153084552e-10
Unknown,71,45-49_Others,22,0.0006133451901678688
40-44_110411,24,>65,72,0.015390063816643873
55-59_115,46,45-49_Others,22,0.008420936023759817
40-44_110411,24,115_110401,31,0.028658571420594248
115_130315,41,120103,70,2.1943337699781296e-05
40-44_110411,24,40-44_110,52,0.0005017797194007967
40-44,448,30-34,421,2.7078218556297884e-09
30-34_221,85,100511,30,0.003842507594675526
35-39_221,109,100511,30,1.5061169301722188e-06
Others,117,130315,48,5.697558052997209e-05
115_110411,85,35-39_115,195,0.0004978199904636105
35-39_221,109,30-34_115,145,0.020379711089538732
<25_115_110411,21,114,42,0.03054047449042696
<25_110411,29,130315,48,0.0004580497763992941
130308,22,114,42,0.03806608115624632
35-39_115,221,25-29,194,0.021952824582245123
130315,57,115_110411,30,6.850100572552975e-06
Others,117,50-54,128,0.0005314401246334644
30-34_115,188,110411,72,8.881784197001252e-16
<25_110411,29,30-34_Others,36,0.03177847944611212
30-34_110,21,25-29_115,104,0.03760949012495307
110,72,40-44_115,140,0.015725908699522617
<25_115_110411,21,110507,42,0.03054047449042696
<25_110411,29,25-29_115,104,0.00031793962600623615
130315,57,30-34_115,145,5.328337071563993e-07
40-44_221,72,115_110411,30,2.2476896610612584e-07
110507,44,221_110411,34,0.03669345098040877
<25_110411,29,120103,70,0.0006969445407841723
25-29_221,28,45-49_Others,22,0.017772880463573726
<25_110411,29,110507,42,0.0078428648204385
Others,117,110,157,0.02466588524976343
50-54_115,62,130315,48,0.0008412694214741112
55-59_115,46,100511,30,0.0336767174195064
<25_110411,29,50-54_221,47,0.004433347593498782
>65,55,40-44_115,140,0.0025459766489527302
110,72,115_110411,30,4.958017454370633e-07
110,72,45-49_115,65,0.023077817409986823
<25,177,45-49,178,0.007377203551475531
130308,22,115_110401,31,0.03248467517299425
115_110411,85,45-49,178,5.6348199883871075e-08
100511,31,55-59,51,0.006569408952426525
Others,117,35-39_115,195,0.019128803736042865
40-44_115,293,40-44,386,0.0001796654352169691
55-59_115,46,45-49_221,50,0.037777546376363325
100511,31,40-44_115,140,0.003034744808932399
35-39,385,35-39,443,0.001027891540130721
40-44_110411,24,110217,40,0.014964211291982776
50-54,80,25-29_221,69,0.04614451771204653
50-54_115,62,115_110411,30,1.3838044043978925e-09
130315,57,40-44_221,118,0.00011686854751702391
Unknown,71,45-49_221,50,0.012452860621291029
130308,22,40-44_221,118,0.005647938460859314
115_110401,68,50-54_115,49,0.03855174995906896
115_130315,41,40-44_115,140,6.798903398053113e-07
110401,96,35-39_221,170,0.04605200236560525
<25_115_110411,21,221_100205,32,0.036925151837479464
30-34_115,188,130315,48,0.019066240537597645
55-59,53,45-49_Others,22,0.005894459482606695
50-54_115,62,115_130315,26,0.0024249541931395946
35-39_115,221,30-34_115,145,0.005731480894155205
<25_110411,29,30-34_110,44,0.012717679788770697
110411,115,45-49,178,1.623972289976905e-09
50-54_115,62,45-49_Others,22,0.001548327363921853
<25_115_110411,21,30-34_110,44,0.034198243240935566
130315,57,Others,146,6.004457064889834e-08
130315,57,25-29,194,1.5433099243011839e-10
35-39_115,221,110411,72,1.5543122344752192e-15
<25_115,141,25-29,194,0.004924147660230638
Unknown,71,100312,32,0.04356884253970683
25-29,126,130315,48,0.03664939047967053
100511,31,120103,70,0.004972216572114774
<25_115_110411,21,50-54_221,47,0.015798842266461777
<25_110411,29,>65_115,46,0.030495490935036895
50-54_115,62,100312,32,0.03806042554672062
50-54,80,221_110411,34,7.991012657571073e-05
115_110411,85,110,157,1.5774171968629958e-09
712901,24,115_130315,26,0.03967280211947921
45-49_115,189,30-34_221,169,5.964346336495563e-05
40-44_110411,24,55-59,51,0.018630811510608636
115_110401,68,221_110411,34,0.0037038172460812646
<25_110411,29,>65,72,0.03395283251701808
40-44_110411,24,115_110411,30,0.006072673565149733
30-34_221,85,45-49_115,65,0.04719170187470545
40-44_110411,24,45-49_115,65,9.426738570061932e-05
Unknown,71,100511,30,5.700723448853751e-07
115_120103,62,115_130315,26,0.02587776786586027
120103,93,50-54_115,49,0.04350402832298006
40-44,448,35-39,443,0.010865571229518145
115_110411,85,30-34_115,145,0.004068076868970594
40-44_110411,24,120103,70,0.015214776281678999
<25_115_110411,21,40-44_110,52,0.002120466769314655
130308,22,25-29_115,104,0.005079941015592837
130315,57,130315,48,1.0826015870213368e-05
120103,93,100511,30,0.00011136438743786226
30-34_115,188,25-29,194,0.03213097981362134
<25,177,30-34_115,145,0.0370260968297188
50-54,80,130315,48,0.00024404417990209204
35-39_115,221,40-44_115,140,0.04617650247379279
50-54,80,100511,30,6.630681403940741e-07
55-59,53,45-49_115,65,0.023605851267762934
<25_115_110411,21,100205,68,0.015790314395707883
35-39,385,30-34_221,169,3.1707689363003055e-08
115_100205,44,45-49_Others,22,0.02203811487216578
35-39_221,109,50-54_115,49,0.0018029652939159924
40-44_110411,24,35-39_Others,40,0.027417044031856075
110401,96,115_110411,30,1.0153300422643952e-08
100511,31,40-44_110,52,0.04975771981227606
115_110411,85,110411,72,1.4848733354000387e-10
Others,117,25-29,194,0.0080114531576847
115_130315,41,106,36,0.00663698960816006
Unknown,71,115_110411,30,1.1249907672095105e-09
35-39_221,109,50-54,128,0.006745384322384029
115_110411,85,35-39_221,170,0.00013846371674242075
Others,117,50-54_115,49,0.0002284520865708517
Unknown,71,115_130315,26,0.0009314024797806297
Unknown,71,106,36,0.01607868418189906
>65,55,120103,70,0.017604188346432292
120103,93,45-49_Others,22,0.01889044982971444
